title,price,location,surface,rooms,baths,link
Appartement à vendre 65 m² à Martil,480000,"Appartements dans Martil, Toute la ville",appartement à vendre 65 m² à martil,2 chambres,1 sdb,https://www.avito.ma/fr/martil/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Martil_55449361.htm
Appartement 2 ch salon balcon Martil 45m² 4ème étage,300000,"Appartements dans Martil, Toute la ville",appartement 2 ch salon balcon martil 45m² 4ème étage,2 chambres,1 sdb,https://www.avito.ma/fr/martil/appartements/Appartement_2_ch_salon_balcon_Martil_45m%C2%B2_4%C3%A8me_%C3%A9tage_55361072.htm
Appartement à vendre 147 m² à Bd Fouaratte Casa.,1200000,"Appartements dans Casablanca, Hay Mohammadi",147 m²,4 chambres,3 sdbs,https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_147_m%C2%B2_%C3%A0_Bd_Fouaratte_Casa__56185859.htm
Studio idéal pour investissement 47m²,1205000,"Appartements dans Casablanca, Bachkou",studio idéal pour investissement 47m²,1 chambre,2 sdbs,https://www.avito.ma/fr/bachkou/appartements/Studio_id%C3%A9al_pour_investissement_47m%C2%B2_57624295.htm
Studio à vendre 33m² à Palmier,970000,"Appartements dans Casablanca, Palmier",studio à vendre 33m² à palmier,1 chambre,1 sdb,https://www.avito.ma/fr/palmier/appartements/Studio_%C3%A0_vendre_33m%C2%B2_%C3%A0_Palmier_57737757.htm
Appartement à vendre 100 m² à Marrakech,2400000,"Appartements dans Marrakech, Hivernage",appartement à vendre 100 m² à marrakech,2 chambres,2 sdbs,https://www.avito.ma/fr/hivernage/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Marrakech_57764655.htm
CMN-MA-2450 - Appartement à vendre à Bd Anoual,1800000,"Appartements dans Casablanca, Autre secteur",114 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/autre_secteur/appartements/CMN_MA_2450___Appartement_%C3%A0_vendre_%C3%A0_Bd_Anoual_57276428.htm
Studio 49m Neuf Proche Tram Anoual,1020000,"Appartements dans Casablanca, Quartier des Hôpitaux",49 m²,1 chambre,1 sdb,https://www.avito.ma/fr/quartier_des_h%C3%B4pitaux/appartements/Studio_49m_Neuf_Proche_Tram_Anoual_57486720.htm
À VENDRE 162M² BD ROUDANI – MAÂRIF,2650000,"Appartements dans Casablanca, Maarif",162 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/maarif/appartements/%C3%80_VENDRE_162M%C2%B2_BD_ROUDANI___MA%C3%82RIF_57838311.htm
Appartement vue sur mer à vendre à Asilah,2000000,"Appartements dans Asilah, Toute la ville",150 m²,3 chambres,3 sdbs,https://www.avito.ma/fr/asilah/appartements/Appartement_vue_sur_mer_%C3%A0_vendre_%C3%A0_Asilah_57749648.htm
Appart 105m A Résidence Casa Park Sidi Maarouf,1250000,"Appartements dans Casablanca, Sidi Maarouf",105 m²,3 chambres,2 sdbs,https://www.avito.ma/fr/sidi_maarouf/appartements/Appart_105m_A_R%C3%A9sidence_Casa_Park_Sidi_Maarouf_57384299.htm
Appartement 74 m² à ALMAZ,830000,"Appartements dans Casablanca, Almaz",74 m²,2 chambres,1 sdb,https://www.avito.ma/fr/almaz/appartements/Appartement_74_m%C2%B2_%C3%A0_ALMAZ_57443082.htm
Duplex Avec Cour Spacieuse En Résidence Fermée,1800000,"Appartements dans Marrakech, Semlalia",,2 chambres,2 sdbs,https://www.avito.ma/fr/semlalia/appartements/Duplex_Avec_Cour_Spacieuse_En_R%C3%A9sidence_Ferm%C3%A9e_57397321.htm
